PrefLabel,AltLabels,Domain,TermType,Definition,ScopeNote,Source,Examples,Parents,TermIRI
secant modulus aggregate document,,tensile,result,A secant modulus aggregate document is a document that is about a collection of secant modulus documents. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002588
secant modulus document,,tensile,result,A secant modulus document is a document that encompasses the information associated with a secant modulus. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002589
section (ELN),,eln,result,A section is a collection of information content entities in an electronic lab notebook entry with a shared descriptive purpose. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0003137
section (site),section,afo,spatial,A section is a site that is a more or less distinct part of a site into which the site is divided. [Allotrope],,,,,http://purl.allotrope.org/ontologies/spatial#AFSP_0000007
section aggregate document,,eln,result,A section aggregate document is a document that aggregates section documents. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0003101
section document,,eln,result,A section document is a document that encompasses the information associated with some section. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0003102
section identifier,,eln,result,A section identifier is an identifier that identifies some section. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0003103
section name,,eln,result,A section name is a written name that denotes some section. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0003104
selected device,,afo,role,A device that is selected to perform a specific function in a process. [Allotrope],,,,,http://purl.allotrope.org/ontologies/role#AFRL_0000027
selected ion current chromatogram,SIC chromatogram,chromatography-ms,result,A plot of ion current vs. retention time obtained from a chromatography experiment with mass detection. A small mass window is monitored such that the mass chromatogram represents detection of a very specific mass-to-charge ratio. [CHMO],,,,,http://purl.allotrope.org/ontologies/result#AFR_0000079
selected ion monitoring,selected ion recording; SIM; SIR,mass-spectrometry,process,Selected ion monitoring is mass spectrometry where the abundances of ions of one or more specific m/z values are recorded rather than the entire mass spectrum. [IUPAC],,"K. K. Murray, R. K. Boyd, M. N. Eberlin, G. J. Langley, L. Li and Y. Naito, Pure Appl. Chem., 2013, 85, 1515-1609",,,http://purl.allotrope.org/ontologies/process#AFP_0002437
selected ion monitoring chromatogram,SIM chromatogram; SIM spectrum,chromatography-ms,result,"A selected-ion monitoring (SIM) chromatogram is similar to an XIC, with the exception that the mass spectrometer is operated in SIM mode, such that only preselected m/z values are detected in the analysis. [Wikipedia]",,https://en.wikipedia.org/wiki/Mass_chromatogram,,,http://purl.allotrope.org/ontologies/result#AFR_0000035
selected ion profile,selected ion signal,mass-spectrometry,result,A selected ion profile is an ion profile where only preselected m/z values are detected in the analysis. [Allotrope],,,,ion profile,http://purl.allotrope.org/ontologies/result#AFR_0002543
selected object role,selected component; selected  object,aft,role,A selected object is the selection role of the object that is selected from the selection target. [Allotrope],,,,selection role,http://purl.allotrope.org/ontologies/role#AFRL_0000026
selected reaction monitoring,SRM,mass-spectrometry,process,Selected reaction monitoring is a multiple-stage mass spectrometry where data acquired from one or more specific product ions corresponding to m/z selected precursor ions are recorded via two or more stages of mass spectrometry. [IUPAC],,E. de Hoffmann (1996). Tandem Mass Spectrometry: a Primer. Journal of Mass Spectrometry 31: 129–137.,,multiple-stage mass spectrometry,http://purl.allotrope.org/ontologies/process#AFP_0002008
selected reaction monitoring,SRM,mass-spectrometry,process,Selected reaction monitoring is a multiple-stage mass spectrometry where data acquired from one or more specific product ions corresponding to m/z selected precursor ions are recorded via two or more stages of mass spectrometry. [IUPAC],,"K. K. Murray, R. K. Boyd, M. N. Eberlin, G. J. Langley, L. Li and Y. Naito, Pure Appl. Chem., 2013, 85, 1515-1609",,multiple-stage mass spectrometry,http://purl.allotrope.org/ontologies/process#AFP_0002008
selecting,material selection,aft,process,The partitioning of some object aggregate. [Allotrope],,,,partitioning,http://purl.allotrope.org/ontologies/process#AFP_0003329
selection,,hdf,hdf5/1.8,"(1) A subset of a dataset or a dataspace, up to the entire dataset of dataspace.
(2) The elements of an array or dataset that are marked for I/O. [HDF]",,,,,http://purl.allotrope.org/ontologies/hdf5/1.8#Selection
selection role,,aft,role,A role which is played by a participant in a selection process. [Allotrope],,,,,http://purl.allotrope.org/ontologies/role#AFRL_0000288
selection structure definition,,datacube,datacube,A selection structure definition is a set of component selections on the  components of a data structure definition. [Allotrope],,,,,http://purl.allotrope.org/ontologies/datacube#SelectionStructureDefinition
selection target role,selection population; selection set; selection target,aft,role,The selection target is the role of a participant in a selection process from which partitions are selected. [Allotrope],,,,selection role,http://purl.allotrope.org/ontologies/role#AFRL_0000124
semi-viable,,aft,"",A viability quality inhering in a population by virtue of some of it's members' ability to survive. [PATO],,,,viability (quality),http://purl.obolibrary.org/obo/PATO_0001770
sender role,,aft,role,The role inhered in a material entity that sends the transferred object in a transfer process. [Allotrope],,,,transferring role,http://purl.allotrope.org/ontologies/role#AFRL_0000087
sending,exporting signal,aft,process,A process that transports a signal across a system boundary out of the system. [Allotrope],,,,exporting,http://purl.allotrope.org/ontologies/process#AFP_0003432
sensing state,,aft,process,The state of perceiving or becoming aware of a signal. [Allotrope],,,,state,http://purl.allotrope.org/ontologies/process#AFP_0003433
sensor,,system,equipment,"A sensor is a component of a measuring system that is directly affected by a phenomenon, body, or substance carrying a quantity to be measured. [Allotrope]",,https://jcgm.bipm.org/vim/en/3.8.html,,device,http://purl.allotrope.org/ontologies/equipment#AFE_0002184
sensor chip (surface plasmon resonance),,binding-affinity,equipment,A sensor chip is a device consisting of a substrate coated in an inert material and an immobilization matrix on which molecular interactions are captured in surface plasmon resonance experiments. [Allotrope],,,,,http://purl.allotrope.org/ontologies/equipment#AFE_0002285
sensor chip document,,binding-affinity,result,A sensor chip document is a document that encompasses the information associated with some sensor chip. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0003085
sensor chip identifier,,binding-affinity,result,A sensor chip identifier is an identifier that identifies some sensor chip. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0003086
sent object role,sent object,aft,role,Sent object is the role of a transferred object at the start of the transferring process. [Allotrope],,,,transferred material,http://purl.allotrope.org/ontologies/role#AFRL_0000455
separating,separation,aft,process,"A branching process that isolates flows into distinct component flows. The separated components are distinct from the flow before separation, as well as each other. [NIST]",,,,branching,http://purl.allotrope.org/ontologies/process#AFP_0000422
